scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,panel
L1,robust,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.022107447328218087,-0.023039392169218076,0.027948270947680966,0.0741011541,0.02273776194853877,1.0039396346111933,688.8528831894204,0,0,0,0,0,0,0.6994466812780492,E
L2,normal,treatment_effect_mean,-0.3374485596707819,5,1,8.245709087819075e-4,0.0027961784507818943,0.01291627041063835,0.08235821719999999,0.025444926461398492,1.016437100455146,376.2099508938217,0,0,0,0,0,0,0.6091100100695565,E
L2,robust,treatment_effect_mean,-0.3374485596707819,5,1,0.005473295762781915,0.005987303915781894,0.009091162637207932,0.07382058479999999,0.022616521300191258,1.0041679885562134,724.9265767831704,0,0,0,0,0,0,0.6843636971328503,E
L3,normal,treatment_effect_mean,-0.3374485596707819,5,0.8,0.009920416511781905,0.0034055254307819305,0.03544953124104915,0.1129943044,0.034667449815966006,1.012605389157543,120.18340095926325,0,0,0,0,0,0,0.6262058518272489,E
L3,robust,treatment_effect_mean,-0.3374485596707819,5,0.8,0.012476538193781916,3.434128207819298e-4,0.033045750823940255,0.10849453410000001,0.033408342688244,1.0027237888482767,591.1537429360956,0,0,0,0,0,0,0.6627111309257008,E
L4,normal,treatment_effect_mean,-0.3374485596707819,5,1,0.010416142001881911,0.007484525645781892,0.04179059032691158,0.149692309,0.045364856853750773,1.0118517332029986,238.49987204914794,0,0,0,0,0,0,0.5617883343953636,E
L4,robust,treatment_effect_mean,-0.3374485596707819,5,1,0.006410899405581904,0.009857797785781885,0.038864885387333965,0.14181823510000002,0.04372267324554402,1.0042181228090608,732.7022902089163,0,0,0,0,0,0,0.7118315012590476,E
L5,normal,treatment_effect_mean,-0.3374485596707819,5,1,-0.0015541701445180745,-0.006449236404218073,0.03815944516636108,0.16717285449999997,0.05139306400641644,1.0141006211338632,208.72651029635472,0,0,0,0,0,0,0.6658683932518444,E
L5,robust,treatment_effect_mean,-0.3374485596707819,5,1,-8.258332314180939e-4,-0.005240161839218105,0.036051800449810205,0.166509519,0.05126526593840017,1.0062824358060167,665.2895825190456,0,0,0,0,0,0,0.6421324487446058,E
N1,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.02900870832421808,-0.019609454379218072,0.0344439696584412,0.09854123470000001,0.030371486772209626,1.0144793620363515,350.3285067734623,0,0,0,0,0,0,0.6608920049869892,F
N1,naive,treatment_effect_mean,-0.3374485596707819,5,0.2,-0.06662534758921809,-0.05965037577421811,0.069116534554914,0.0996679388,0.03054502477014047,1.0076409859168949,210.35209670378765,0,0,0,0,0,0,0.6682336866774019,F
N2,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.01827623089821807,-0.020779728624218063,0.040587260994869256,0.0874128418,0.026712308155402074,1.007248706942225,278.70810959319846,0,0,0,0,0,0,0.6817092983474274,F
N2,naive,treatment_effect_mean,-0.3374485596707819,5,0.4,-0.07494081290221807,-0.07450880284921807,0.07918699580638269,0.09978251959999997,0.03044971231308454,1.0269954686320015,210.12906479667205,0,0,0,0,0,0,0.6234935568251815,F
N3,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.04312008981821809,-0.033153278994218105,0.04729519050039456,0.1014365658,0.030787880709543313,1.0101984113041895,399.8534596357919,0,0.4,2,0.2,0,0,0.6572242994179208,F
N3,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.1071372185402181,-0.10457502632921811,0.10780278716195331,0.11771917429999998,0.03589667947594431,1.013507270213157,234.35361577230586,0,0,0,0,0,0,0.639930561575242,F
N4,full,treatment_effect_mean,-0.3374485596707819,5,0.4,-0.0665523782052181,-0.07069776027421809,0.06953054786653141,0.1270244197,0.03844777378649173,1.0221014194652467,117.29726065889356,0,3,11,0.4,0.2,0,0.6768797211064669,F
