scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,metadid_install_datetime,run_date,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,se_bias,se_ci_width,se_posterior_sd
A3,default,time_trend_mean,-0.08888888888888889,25,1,-0.00209462493334658,-0.00653431194937818,0.02184920631387482,0.12414413297579996,0.03861114873520171,1.271250747140244,10.998062362636214,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,default,time_trend_sd,0.04444444444444444,25,0.88,0.02561815170272511,0.02512863297750805,0.03974551871451596,0.13920557665275993,0.0470582939418472,1.271250747140244,10.998062362636214,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00782435581320728,-0.00923439871334919,0.0427446494602169,0.18181216693319996,0.05806863548982692,1.271250747140244,10.998062362636214,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,default,treatment_effect_sd,0.06666666666666667,25,0.8,0.04120725467600129,0.03565207670536083,0.0630148228538077,0.2174774760847999,0.07370281122617398,1.271250747140244,10.998062362636214,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,default,time_trend_mean,-0.08888888888888889,25,0.96,-0.0013217561681411,-0.0011321589463611,0.00328428531022438,0.01251302559999999,0.00380975022568666,1.0050640096288688,763.1937608096872,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,default,time_trend_sd,0.04444444444444444,25,0.64,0.00418734497311555,0.00409567129455555,0.00466309375730136,0.00981975023199999,0.00300034140168481,1.0050640096288688,763.1937608096872,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,default,treatment_effect_mean,-0.3333333333333333,25,0.8,-0.00276705913556668,-0.0024710782391667,0.0074227327917405,0.02010634943999999,0.00613336261284988,1.0050640096288688,763.1937608096872,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,default,treatment_effect_sd,0.06666666666666667,25,0.28,0.01241037476472333,0.01275829178983332,0.0141031256464127,0.01551603517799999,0.00473845280419152,1.0050640096288688,763.1937608096872,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,default,time_trend_mean,-0.08888888888888889,25,0.96,-0.0056189810822709,-0.0092828569073611,0.01592027182430344,0.06273028285999999,0.01921793394595811,1.016019505381652,547.486145837178,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,default,time_trend_sd,0.04444444444444444,25,0.72,0.01476914990727746,0.01341923644930555,0.02185912913128057,0.05638338640219998,0.01754834503242779,1.016019505381652,547.486145837178,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,default,treatment_effect_mean,-0.3333333333333333,25,0.84,-0.00616566906786668,-0.00832427129916668,0.0217576235397262,0.06897822036000001,0.02102519283884769,1.016019505381652,547.486145837178,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,default,treatment_effect_sd,0.06666666666666667,25,0.64,0.01767568986011333,0.01695340665258334,0.02427594639944264,0.05386013935799999,0.01658048755037549,1.016019505381652,547.486145837178,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,default,time_trend_mean,-0.22222222222222224,25,1,-0.00640886586512776,-0.00241827722527776,0.01505244595370125,0.07424145765999998,0.02270539652940772,1.0602645741168273,44.122654387215285,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,default,time_trend_sd,0.02222222222222222,25,0.64,0.02511456147691986,0.02572454187387802,0.03178610432726696,0.06961537169931997,0.02181588350856317,1.0602645741168273,44.122654387215285,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
