scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad
C7,robust,time_trend_sd,0.044444444444444446,25,0.88,0.016832024526540035,0.021539467809305553,0.02597725973786751,0.07307037304199998,0.023140339077622026,1.0265037232813752,204.53877533301824,0
C7,robust,treatment_effect_mean,-0.3333333333333333,25,0.96,-0.010045950727766689,-0.014095861486666694,0.02808396894023064,0.10925739993999999,0.03346823569193142,1.0265037232813752,204.53877533301824,0
C7,robust,treatment_effect_sd,0.06666666666666667,25,0.24,0.052905140782851336,0.05966469108858334,0.05725473602002209,0.10372137383399997,0.03210564434125115,1.0265037232813752,204.53877533301824,0
C8,normal,time_trend_mean,-0.08888888888888889,25,0.88,0.002027585735699,-2.5059402111102247e-5,0.017746405771407014,0.06030742394459999,0.018474539624909008,1.0137023462824706,466.4877366062826,0
C8,normal,time_trend_sd,0.044444444444444446,25,0.28,0.033205569482895554,0.03201963635755555,0.04229665141666385,0.04903441779799998,0.015305753858611656,1.0137023462824706,466.4877366062826,0
C8,normal,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.007764680713666681,-0.00887105563416668,0.02395410772189596,0.0702882951,0.021536962344147984,1.0137023462824706,466.4877366062826,0
C8,normal,treatment_effect_sd,0.06666666666666667,25,0.6,0.021318664981033332,0.017853121039083333,0.026925333621617663,0.05841442648599999,0.018182909220960726,1.0137023462824706,466.4877366062826,0
C8,robust,time_trend_mean,-0.08888888888888889,25,0.88,0.001870224626095248,5.968540053888916e-4,0.017511988603180415,0.06020126059379999,0.018441367142070078,1.015231701800536,441.0309958572012,0
C8,robust,time_trend_sd,0.044444444444444446,25,0.28,0.03321098045326555,0.031155384091305548,0.042292143769962584,0.04872856398399999,0.015216608497285861,1.015231701800536,441.0309958572012,0
C8,robust,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00725879726846669,-0.006631050801666705,0.02407175234735079,0.07061968142,0.02155360081757758,1.015231701800536,441.0309958572012,0
C8,robust,treatment_effect_sd,0.06666666666666667,25,0.76,0.015845567759973336,0.01445324323783334,0.022429313214448073,0.05985720384599998,0.018564418127141342,1.015231701800536,441.0309958572012,0
D1,default,time_trend_mean,-0.08888888888888889,25,0.84,-0.02449937609798911,-0.021249754171736107,0.03392273497899225,0.09320750840799999,0.028957570789803898,1.0734046544906022,49.485527348657094,0.12
D1,default,time_trend_sd,0.044444444444444446,25,0.72,0.029371119125182747,0.02474351055420556,0.04027094666502659,0.09720299549619996,0.031194151471708155,1.0734046544906022,49.485527348657094,0.12
D1,default,treatment_effect_mean,-0.3333333333333333,25,0.96,0.02073361766433331,0.020879416755833324,0.03330735574495454,0.12492982757999997,0.03801374658790444,1.0734046544906022,49.485527348657094,0.12
D1,default,treatment_effect_sd,0.06666666666666667,25,0.32,0.09429898644990733,0.09393635059858334,0.10007241731637809,0.12845654738399997,0.03934648495908548,1.0734046544906022,49.485527348657094,0.12
D2,default,time_trend_mean,-0.08888888888888889,25,0.96,-0.0026803437797638073,-0.004549417460111102,0.012159794676401355,0.04139548850399999,0.012673963215191804,1.0100167420298096,479.6903168876951,0
D2,default,time_trend_sd,0.044444444444444446,25,0.8,0.005993216595915554,0.002758545942305554,0.012437386964784067,0.034711875449999985,0.010799958275965188,1.0100167420298096,479.6903168876951,0
D2,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.0021291967019666847,-0.006106514516666661,0.020955981755862507,0.06499992041999998,0.019919131881529897,1.0100167420298096,479.6903168876951,0
D2,default,treatment_effect_sd,0.06666666666666667,25,0.72,0.012904665391853335,0.013609411190583329,0.02236289267611577,0.052381044841999985,0.016419240932247434,1.0100167420298096,479.6903168876951,0
D3,default,time_trend_mean,-0.08888888888888889,25,0.96,-2.1078922849110838e-4,8.948660446388979e-4,0.009002196967922723,0.04007948484399999,0.012271159331305513,1.0118018560745383,659.8606418577333,0
D3,default,time_trend_sd,0.044444444444444446,25,0.68,0.003930662202490554,0.0029660184670555548,0.014832013158417843,0.03428292618199999,0.010652719991660826,1.0118018560745383,659.8606418577333,0
