scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
K1,default,treatment_effect_sd,0.07626392697027408,5,1,0.04903273436836592,0.055602388284725926,0.051310372748217,0.22600161876999997,0.07904628190055792,0.007558857584354871,0.010261603389215978,0.004310879843574837,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807
K10,default,baseline_difference_sd,0,5,0,0.03087362147678687,0.0224218899296225,0.03495085840421509,0.05680353109099999,0.017988984313134553,0.008191184287079267,0.008029939929712218,0.002162154631494123,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256
K10,default,time_trend_mean,-0.08998628257887518,5,1,0.0022694197460235823,0.009925015862100178,0.021174323648860967,0.12327681092,0.03913133130743121,0.010526178271375027,0.020407646601001934,0.006690979140659067,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256
K10,default,time_trend_sd,0.045528614603915496,5,0.8,0.0288350015177965,0.016356524629684503,0.04370882953672519,0.136991325107,0.043268962316555686,0.016424101702522224,0.016771686731103085,0.00527594855130782,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256
K10,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.007702906354218086,-0.010978822599218063,0.017377409579226396,0.08541320809999997,0.0262287973736772,0.007788446529673551,0.009462841524293815,0.0027942193960375384,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256
K10,default,treatment_effect_sd,0.07626392697027408,5,0.8,-0.001809864832974077,-0.011534875857774074,0.025373436655719388,0.07812118986,0.02461343387598752,0.012654403156689847,0.007499193129169508,0.002457430060493919,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256
K11,default,baseline_difference_sd,0,5,0,0.0262552354514783,0.022133678131033,0.027130109163676946,0.052488407184999995,0.016204452619307964,0.003417068722621224,0.0031910407403482983,9.384620252457327e-4,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139
K11,default,time_trend_mean,-0.08998628257887518,5,1,-0.012626910606025648,-0.014418006666924818,0.024325676348122435,0.1432555994479,0.0418706501989829,0.01039590855025476,0.02367793069220308,0.004545408699676877,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139
K11,default,time_trend_sd,0.045528614603915496,5,0.8,0.034690370396074505,0.023476165765234508,0.04139678128747533,0.13895644735999998,0.04220459391419966,0.011294597190097407,0.012353037099797634,0.002502666979392403,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139
K11,default,treatment_effect_mean,-0.3374485596707819,5,1,0.005533573501781896,0.009327566000781884,0.018920156155686704,0.0771348231,0.022772496737119816,0.009046434010923124,0.0022690300133990887,6.807718200835084e-4,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139
K11,default,treatment_effect_sd,0.07626392697027408,5,1,4.4397326272592046e-4,0.008134656457725917,0.014950347368298747,0.06213375876,0.019005950969549358,0.007471876842112391,0.004971072704226519,0.0015752128975137704,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139
K12,default,baseline_difference_sd,0,5,0,0.028024000945538058,0.0206128436644828,0.02963922230588113,0.054380111589999995,0.01674508118159732,0.004825424072087434,0.004651812829268874,0.0012874835849460778,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564
K12,default,time_trend_mean,-0.08998628257887518,5,0.8,0.015870327864082386,0.004173747961419186,0.030058098942681043,0.08581493060299998,0.027122283729620434,0.012763443946820675,0.011406421839063855,0.0036741456792888797,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564
K12,default,time_trend_sd,0.045528614603915496,5,1,0.005866421775052706,-0.007841255453900499,0.021589937375504867,0.10481256099999998,0.03302328906070748,0.010388822014976113,0.014374059762911869,0.004538400771743846,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564
K12,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.006390474776218092,-0.006921877144218103,0.007605184790893289,0.05808580300000001,0.01765613504196317,0.0020615933060472275,0.003115178613970776,8.67185917134911e-4,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564
K12,default,treatment_effect_sd,0.07626392697027408,5,0.8,0.003303882906025922,-0.0031113487397740752,0.0167478216364814,0.05156120766,0.015499428145168446,0.008209352704547784,0.005466677021133624,0.0015622736816107438,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564
K13,default,baseline_difference_sd,0,5,0,0.040997985100473804,0.0395612329234,0.0459956655283714,0.049654313344,0.015195516785849817,0.010425527146134404,0.00492348772458553,0.0014150971103124399,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779
K13,default,time_trend_mean,-0.08998628257887518,5,1,0.0034303445336056836,0.001338638986375179,0.034488790605390944,0.09895764287,0.030655492258821748,0.01715888555387022,0.022352389339525738,0.00666494011802595,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779
