scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,category
K3,default,treatment_effect_mean,-0.3374485596707819,5,1,0.00332738442578191,0.0036804244207819248,0.01734239691664205,0.07560256899999998,0.023134200543541268,0.008510100523751462,0.005015055582814972,0.00153834974513378,1.0105833580144314,240.36769119064573,0,5.6,25,0.4,0.2,0,0.7454230476864822,K
K4,default,treatment_effect_mean,-0.3374485596707819,5,0.8,0.007153639103781906,-0.001280862524218107,0.017919099041074017,0.060516797000000025,0.01849510535542563,0.008214614385603596,0.004721804391272581,0.0014995428342433976,1.0512614430025113,60.26908736109905,0.2,37.4,83,0.8,0.6,0,0.7541416157791436,K
K5,default,treatment_effect_mean,-0.3374485596707819,5,0.8,-2.8905647421809675e-4,0.0070729482857819215,0.0167352897573298,0.052093028100000015,0.015861832476230187,0.008366396620058428,0.0018812490671174405,5.825637542427455e-4,1.0277914132805608,87.39569984077585,0,0.4,2,0.2,0,0,0.4146971127975524,K
K6,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.005427548243218094,-0.006153305979218093,0.011687292396705504,0.0794253484,0.024512003256994,0.005175290417784069,0.0055573594181693,0.0016656520728159905,1.0062781936336338,615.3489244337102,0,0,0,0,0,0,0.6505428794055766,K
K7,default,treatment_effect_mean,-0.3374485596707819,5,1,0.008824879102781912,0.00920951584078189,0.01242978256936754,0.05895320159999997,0.018120137605393126,0.004376671210607331,0.0027678028971303316,0.0010679143319952122,1.0042879822784665,522.2494760290765,0,0,0,0,0,0,0.616677724376856,K
K8,default,treatment_effect_mean,-0.3374485596707819,5,0.8,0.001849241667781909,0.0054848788357819145,0.01805261290297864,0.043959978,0.01350004532687924,0.008978824225350025,0.0025409975011446593,8.201576028817509e-4,1.0041345895229083,447.50984665271926,0,0,0,0,0,0,0.5888841410563257,K
K9,default,treatment_effect_mean,-0.3374485596707819,5,1,0.0019897518197819044,0.0022366644307819095,0.00315995066172522,0.0306386611,0.009328339160691026,0.0012274135285440942,0.0012211676160659175,3.8136793872201366e-4,1.0069653788552428,531.3556153182153,0,0,0,0,0,0,0.565348397742119,K
L1,normal,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.02037536255121809,-0.025417979639218102,0.026260204978190073,0.0723544004,0.021929327269240653,0.008283160121641047,0.004093491643104022,0.0011986840163347077,1.0039017024385122,551.6641958711839,0,0,0,0,0,0,0.5828479464335802,L
L1,robust,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.02011742044621808,-0.02168993038421807,0.025873171822147552,0.0741655039,0.022378696735285496,0.0081349618119640945,0.004875765273004188,0.0014382677678060189,1.0031538535442792,818.9400322294515,0,0,0,0,0,0,0.7104562145499889,L
L2,normal,treatment_effect_mean,-0.3374485596707819,5,1,-0.0012129890352180817,-0.0015928553042180993,0.013051184548158432,0.0832936083,0.025250414072027574,0.006497347068429739,0.007403787374221735,0.0021946522811668043,1.0088939674924988,317.1853369178913,0,0,0,0,0,0,0.6043888641737057,L
L2,robust,treatment_effect_mean,-0.3374485596707819,5,1,0.003805171438781907,0.0036435984157819346,0.00790966978972635,0.07395323620000001,0.02256599349544029,0.0034671150292421835,0.005096403625007073,0.0015521195062554525,1.0050939438815503,657.7446450248717,0,0,0,0,0,0,0.6704175884616917,L
L3,normal,treatment_effect_mean,-0.3374485596707819,5,0.8,0.009580783895781908,0.003836763750781902,0.034636933213912986,0.1123580326,0.0341919315212429,0.016642759104242563,0.010580053242746738,0.003133186085378366,1.017070130064991,242.33387780464452,0,0,0,0,0,0,0.6147087469192453,L
L3,robust,treatment_effect_mean,-0.3374485596707819,5,0.8,0.011892558008781917,-5.21155679218066e-4,0.03357621817938557,0.10650462550000002,0.03254129939261845,0.015699757093960553,0.009565661455726914,0.0030061067042431834,1.0039694937698156,791.4009299079482,0,0,0,0,0,0,0.7108424478159514,L
L4,normal,treatment_effect_mean,-0.3374485596707819,5,1,0.008034341228781905,0.008557162750781888,0.04223849168212979,0.14769403869999997,0.044653844464843856,0.020733665502033417,0.008542548474943753,0.0028079345237657016,1.017793268866174,170.16003933735627,0,0,0,0,0,0,0.6112954257593969,L
L4,robust,treatment_effect_mean,-0.3374485596707819,5,1,0.004968795949581916,0.008417066540781892,0.038270582947256694,0.1417226197,0.04310430377460985,0.0189733272380879,0.007530160575322784,0.00217833628098896,1.006806890238386,501.5964596647986,0,0,0,0,0,0,0.6478533558569293,L
L5,normal,treatment_effect_mean,-0.3374485596707819,5,0.8,0.004584522972281913,-3.236100242181017e-4,0.03840306866003698,0.1691369717,0.052254989318515827,0.019064219310164093,0.005054921992898482,0.0016378419786938732,1.049081191698342,102.46041590677929,0,0,0,0,0,0,0.6110690635501996,L
L5,robust,treatment_effect_mean,-0.3374485596707819,5,1,6.126859861819046e-4,-0.005208896234218108,0.03716304268713754,0.16729225679999998,0.051217426710252846,0.01857899592044968,0.006080346513379362,0.0017738956672039051,1.0082319516156157,676.8808129367417,0,0,0,0,0,0,0.6402234389717023,L
N1,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.029182463405218094,-0.020730119254218082,0.033585644330133606,0.09682187169999999,0.029853050782653524,0.008312330218917896,0.00904227134471575,0.002686605505240557,1.0091918396691795,376.6809531956195,0,0,0,0,0,0,0.682158610754309,N
N1,naive,treatment_effect_mean,-0.3374485596707819,5,0.2,-0.06420801153821809,-0.060434488634218075,0.06639398653530292,0.1029145085,0.031256417542493316,0.00844826464958984,0.013983712399742535,0.004235280504891434,1.012597705285913,165.879610525595,0,0,0,0,0,0,0.69328587930046,N
N2,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.017527878293218092,-0.020770479839218092,0.03900250373563043,0.08825634079999999,0.026958458391622718,0.017421027382060448,0.007774980200120155,0.002358931961694413,1.009216347548938,340.83065843251154,0,0,0,0,0,0,0.6448486029447614,N
N2,naive,treatment_effect_mean,-0.3374485596707819,5,0.4,-0.0746691688092181,-0.07476970125921811,0.07871184167393087,0.10000374470000004,0.03064916669912963,0.01245059485569315,0.007130582159087247,0.0022353443980311144,1.0111892391838126,302.08238762221697,0,0,0,0,0,0,0.638978345160026,N
